date;open;high;low;close;volume
20130626;000000;151.7000000;151.7000000;151.7000000;151.7000000;0
20130627;000000;151.6000000;151.6000000;151.6000000;151.6000000;0
20130628;000000;151.7500000;151.7500000;151.7500000;151.7500000;0
20130701;000000;151.7500000;151.7500000;151.7500000;151.7500000;0
20130702;000000;151.8500000;151.8500000;151.8500000;151.8500000;0
20130703;000000;151.9500000;151.9500000;151.9500000;151.9500000;0
20130705;000000;152.1000000;152.1000000;152.1000000;152.1000000;0
20130708;000000;152.1000000;152.1000000;152.1000000;152.1000000;0
20130709;000000;152.2500000;152.2500000;152.2500000;152.2500000;0
20130710;000000;152.3000000;152.3000000;152.2000000;152.2000000;0
20130711;000000;152.0000000;152.3500000;152.0000000;152.3500000;0
20130712;000000;152.5000000;152.5000000;152.5000000;152.5000000;0
20130715;000000;152.5000000;152.6000000;152.5000000;152.6000000;0
20130716;000000;152.7000000;152.7000000;152.7000000;152.7000000;0
20130717;000000;152.7500000;152.7500000;152.7000000;152.7500000;0
20130718;000000;152.8500000;152.8500000;152.8500000;152.8500000;0
20130719;000000;152.9500000;152.9500000;152.9500000;152.9500000;0
20130722;000000;153.0500000;153.0500000;153.0500000;153.0500000;0
20130723;000000;153.2200000;153.2200000;153.2000000;153.2000000;0
20130724;000000;153.2500000;153.2500000;153.2500000;153.2500000;0
20130726;000000;153.3000000;153.3000000;153.3000000;153.3000000;0
20130728;000000;153.3000000;153.3000000;153.3000000;153.3000000;0
20130801;000000;153.6500000;153.6500000;153.6500000;153.6500000;0
20130802;000000;153.7500000;153.7500000;153.7500000;153.7500000;0
20130805;000000;153.7500000;153.8000000;153.7500000;153.8000000;0
20130807;000000;153.2500000;153.2500000;153.2500000;153.2500000;0
20130812;000000;153.0000000;153.3000000;153.0000000;153.3000000;0
20130813;000000;152.9000000;152.9000000;152.9000000;152.9000000;0
20130814;000000;153.0000000;153.0000000;153.0000000;153.0000000;0
20130815;000000;152.8000000;152.8000000;152.8000000;152.8000000;0
20130816;000000;152.7000000;152.7000000;152.7000000;152.7000000;0
20130819;000000;152.7000000;152.7000000;152.5500000;152.5500000;0
20130820;000000;152.4500000;152.4500000;152.4500000;152.4500000;0
20130821;000000;152.3000000;152.3000000;152.3000000;152.3000000;0
20130822;000000;152.5000000;152.5000000;152.5000000;152.5000000;0
20130823;000000;152.4000000;152.4000000;152.4000000;152.4000000;0
20130826;000000;152.5000000;152.5000000;152.5000000;152.5000000;0
20130827;000000;152.3000000;152.3000000;152.2500000;152.3000000;0
20130828;000000;152.4000000;152.4000000;152.4000000;152.4000000;0
20130902;000000;153.2000000;153.2000000;153.2000000;153.2000000;0
20130903;000000;153.3000000;153.3000000;153.3000000;153.3000000;0
20130904;000000;153.2000000;153.2000000;153.2000000;153.2000000;0
20130906;000000;153.0500000;153.0500000;153.0500000;153.0500000;0
20130907;000000;153.2000000;153.2000000;153.0500000;153.0500000;0
20130909;000000;153.0500000;153.3000000;153.0500000;153.2500000;0
20130910;000000;153.5000000;153.5500000;153.5000000;153.5500000;0
20130912;000000;153.5000000;153.5000000;153.3200000;153.3300000;0
20130913;000000;153.3000000;153.3000000;153.3000000;153.3000000;0
20130916;000000;153.3500000;153.3500000;153.3500000;153.3500000;0
20130917;000000;153.4000000;153.4000000;153.4000000;153.4000000;0
20130918;000000;153.4500000;153.4500000;153.4000000;153.4000000;0
20130919;000000;152.9500000;152.9800000;152.9500000;152.9800000;0
20130920;000000;152.9800000;153.0000000;152.9800000;153.0000000;0
20130923;000000;152.9700000;153.0500000;152.9500000;152.9500000;0
20130924;000000;153.1000000;153.1000000;153.1000000;153.1000000;0
20130925;000000;153.7000000;153.7000000;153.6500000;153.6500000;0
20130926;000000;153.6000000;153.6000000;153.5500000;153.5500000;0
20130927;000000;153.7000000;153.7000000;153.7000000;153.7000000;0
20130930;000000;153.7000000;153.8000000;153.7000000;153.8000000;0
20131001;000000;153.9000000;153.9000000;153.9000000;153.9000000;0
20131002;000000;154.0500000;154.0500000;154.0500000;154.0500000;0
20131003;000000;154.1000000;154.1000000;154.0800000;154.0800000;0
20131004;000000;154.2000000;154.2000000;154.2000000;154.2000000;0
